prej_1,prej_2,prej_3,prej_4,prej_5,prej_6,prej_7,prej_8,prej_9,prej_10,prej_11,prej_12,prej_13,prej_14,prej_15,prej_16,prej_17,prej_18,prej_19,prej_20,prej_21,prej_22,prej_23,prej_24,prej_25,prej_26,prej_27,prej_28,prej_29,prej_30,prej_31,prej_32,prej_33,prej_34,prej_35,prej_36,prej_37,prej_38,prej_39,prej_40,prej_41,prej_42,prej_43,prej_44,prej_45,prej_46,prej_47,prej_48,prej_49,prej_50,prej_51,prej_52,prej_53,prej_54,prej_55,prej_56,prej_57,prej_58,prej_59,prej_60,prej_61,prej_62,prej_63,prej_64,prej_65,prej_66,prej_67,prej_68,prej_69,prej_70,prej_71,prej_72,prej_73,prej_74,prej_75,prej_76,prej_77,prej_78,prej_79,prej_80,prej_81,prej_82,prej_83,prej_84,prej_85,prej_86,prej_87,prej_88,prej_89,prej_90,prej_91,prej_92,prej_93,prej_94,prej_95,prej_96,prej_97,prej_98,prej_99,prej_100,prej_101,prej_102,prej_103,prej_104,prej_105,prej_106,prej_107,prej_108,prej_109,prej_110,prej_111,prej_112,prej_113,prej_114,prej_115,prej_116,prej_117,prej_118,prej_119,prej_120,accept_1,accept_2,accept_3,accept_4,accept_5,accept_6,accept_7,accept_8,accept_9,accept_10,accept_11,accept_12,accept_13,accept_14,accept_15,accept_16,accept_17,accept_18,accept_19,accept_20,accept_21,accept_22,accept_23,accept_24,accept_25,accept_26,accept_27,accept_28,accept_29,accept_30,accept_31,accept_32,accept_33,accept_34,accept_35,accept_36,accept_37,accept_38,accept_39,accept_40,accept_41,accept_42,accept_43,accept_44,accept_45,accept_46,accept_47,accept_48,accept_49,accept_50,accept_51,accept_52,accept_53,accept_54,accept_55,accept_56,accept_57,accept_58,accept_59,accept_60,accept_61,accept_62,accept_63,accept_64,accept_65,accept_66,accept_67,accept_68,accept_69,accept_70,accept_71,accept_72,accept_73,accept_74,accept_75,accept_76,accept_77,accept_78,accept_79,accept_80,accept_81,accept_82,accept_83,accept_84,accept_85,accept_86,accept_87,accept_88,accept_89,accept_90,accept_91,accept_92,accept_93,accept_94,accept_95,accept_96,accept_97,accept_98,accept_99,accept_100,accept_101,accept_102,accept_103,accept_104,accept_105,accept_106,accept_107,accept_108,accept_109,accept_110,accept_111,accept_112,accept_113,accept_114,accept_115,accept_116,accept_117,accept_118,accept_119,accept_120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1.7,,,1.4,,,,60.8,40.3,42.8,,,100,,,,,1.5,1.7,,100,0.3,,1.7,66.2,,,,,,,,,,,,,,,,,,,50.7,,,50.7,,,1.4,,,,,1.3,,,,,,,,1.7,,1.3,,,,,,,,,0.1,,,,,,,,50.7,1.1,,,1.4,,,,,,,1.5,,,,1.4,,,,,,,,0.1,,1.4,,,,80.8,,,,1.7,2.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,10.6,,,,,,0,,,0,,,3.7,86.8,,,,,,,,,,,4.5,,,,,,0,,,,,,,,,2.7,0,0,,,,,,,,,,0,,0,,,,,,0,,0.3,0.7,100,,0,,0,,,,0,,0,,,0,,,,,,,,0,,74.2,,,0,0,,,
75.2,,,,100,,,,,,,25.8,,50.8,0,,,,,,,,0,,,,,,100,,,95.5,,,,,,90,3.1,,,,,,,,75.1,,,,,,,100,,65,,,75.6,,,65.3,,100,,,,,66.3,0,75.2,,40.7,,,,,,,,,,0,40.9,,,,100,80.4,0,,,,,,,,,,,,,,,,,,,89.8,,,,,100,0,40.4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,,,,,,87.3,0,,,0,0,,,,,0,,,,,,,,,0,,,,,,,,,97.2,0,,88.6,,0,0,,0,0,,0,,,0,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,0,0,0,,,,,,,0,,,,,0,,100,,,,,,,0,,0,,0,,,,0,,,,,0,,0,,
,,,,,,,,,,,,,,,1,94.8,,,100,,,11.3,,,,,1,,96.3,,,,,83.4,,,96.9,,,,1,,,35.9,,,,1,,1,,,,7.9,,,,,,,67,,,,,1,1,,,,,57.5,87.9,100,81.5,,,,,,,,,,,,,,,,,1.7,1,,1.3,,77,,100,,,80,,,,,,,28.6,,13.8,,,,,73.9,,90.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.8,,,,95.4,,,0.3,,,58.5,,,,,,1.3,,,,,2,,76.9,,2.1,,95.5,,,82.8,87.3,,93,85.6,,,,,,1.8,99.4,86.8,,,,53.9,,,,,,,,,,,,,,63.4,,55.1,,,78.3,53.4,87.3,,,,,,,50.1,,,,,85.2,,,66.3,,,,,,,,,,,,,,,57.7,,,83.2,,,74.2,,,,,,22.1,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.3,,,,,,31.5,,,,,,,1.7,25.5,,,,,44.2,,8.3,,,,,,,,,,,,,,,,,3.7,43,12.5,,55.5,,58,22.3,26.2,,,39.3,,,,,,,81.1,,,,20.1,,,43.2,12.3,,,,,,,,,,,70,52,,,,,67.2,68.6,,70.3,60.1,,16.5,,,,,,59.7,3,,,,,,,,,,,62.4,74.5,,,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,0,,82,,,81,,90.3,0,100,,,,,,,,95.2,,,,,,80.7,,,0,0,83,,,,0,,,,,,,,55.4,,,,83.1,,86.1,,,,96.1,,,,52.5,,,0,54.6,,,,,,,98.2,0,,,,,65.4,,,,,,86.5,0,73,,,,96.8,,,,,100,,78.7,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2,95.8,60.4,,,,,89.6,,53.1,,27.3,,,,,73.2,65.1,,67.3,,,,,,,,,,,,79.7,,74.4,,,,,,,68.6,,,64.1,59.7,,,,63.9,,,,,,75.1,87.2,,44.1,,,,,,65.6,,,53.2,,,,68.6,,,,,,85.1,60.4,61.7,,,53.4,94.5,,,,,38.9,,66.2,,,,,,,,,,,,,,,,,,63.8,,,,,94.9
,,,,80.1,77,,26.3,,38.3,,,,,,,,,64.4,,,82.7,6.2,,,,,68.5,,87.5,,,,,71.5,83.9,1.8,,,,,,82.3,,,,80.7,,75.4,,,,,,,,71.4,86.2,,,,,81.7,,,,,,74.1,1,,65.8,,,,,,,32.7,,,,,46.1,,,,,,,33,,,87.6,,,91.4,73.2,,,59.6,,,,,,,,,52.3,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,1,,,,,,,0,0,,,,,,,0,0,,,,,0,,,0,,,0,1,,0,,,,0,,,0,,,,0,,,,,,,0,0,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,0,,,,1,,0,,,,,0,,,0,,,,,,0,,,,0,,,,0,,,0,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,40.6,,,14.8,,,,33.5,,,,,,,,,30.1,,,,,51,60,,,,,39.4,41.5,53.7,,,,9.3,42.1,21.1,,,,,,,,,,,,25.6,,,,,,46.6,,,,,,,,,,,,,,,,47.3,87.9,,,45.1,43.8,47,,,,,,,,,,,,44.5,,28.5,,,,,,20.8,,,,53.1,,31.5,,27.9,,55.6,,,,,,,51,,,41.8,40.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.6,,,,,2,,23.1,,,,,,,,,,,,,,,,,,,,,,4.4,,5.5,,,,100,,,,,82.4,,,20.4,82.5,82.3,4.5,,50.3,,,,,,,,,3.2,,,,,4.6,76.6,73.2,,,,,4.4,,29.4,,3.4,,,,,,26.6,64.8,,,,,,4.2,,23.1,81.1,,,,,99.9,,,,,,,,3.5,,,70.4,,,11.3,,51.8,,5.8,,,,,,
,,,,,,,,,,,,,,6.5,,,51,,52.8,,50.8,,,47.5,,5.8,,,,,,,29.4,,,,,,,24.5,,,,51.1,,,57.3,,,,69.7,,,,,,,51.5,69.6,,,,51.1,53.4,,,,,,,,,5.4,,,,,,,24.2,,14.2,,,,,,,8.9,,,,,54.4,,,,55.5,,23.8,55.1,,,,59.4,,,,31.3,,,54.2,54.1,52.4,,51.5,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,55.6,48.3,8,,,,,63,0,,,,,,,,,52,51,75.8,,65.9,,,,,,,,,,,30.6,,,,,80.4,,30,,44.8,,,33.9,,,,70.8,,,,58.3,,,,,71,75.1,,,37.9,,,,80,,,,,,,77,67,77.7,,53.8,40.8,,,,,46.6,,,,,,,,,,,,65.6,,,67,,,,,,,,,70.3,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,81.7,,4.4,,,,,,,,54.9,,95.7,,37.2,,66.8,,,6,8.5,,12.9,,,,94.6,,,93,,,,,,66.3,28.9,40.7,,,,,,,,,,,77.4,,,49,,,,,,,39.8,,,,,,18.6,,,37.1,,,,,,,,,50.7,21.9,,70.1,,,,,,,,,,,,,,,68.5,,,20.8,,50.3,,,,,48.6,33.9,,11.2,33.2,
,50,,,100,,,,,,50,,,,0,,,0,,100,,,0,,,,,,,100,,,,,,,,,,,,,,,100,0,,,,,,100,,50,100,,,,,,,,,100,,0,,0,100,,,,,,100,50,,,50,,100,50,,,0,100,,,0,,,,,,,,,,,,,,,100,,,100,,,,,100,,,50,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.1,87.6,,,,,92.5,,23.2,,,90,95.4,,,,,,,94.9,,94.9,,30.7,,,,,,,,,,,,,,,,,,81,93.9,94.4,,46.2,,,,,,,94.9,,,,,94.6,93.1,95.5,86.1,,,,,,,93.5,67.6,,,,,,95.1,,,,,,,94.9,,,,,,,,16.2,,,,94.9,94.9,,95.1,,,,,,,,93.8,,94.9,,,94.5,,,,,,,,95.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,23.7,,,1.8,,,,72.8,,,,,8,,,,,,,,,,,73.9,74.8,,1,,0.7,,,,,3.5,,,,,,,,1.5,2.1,,,,,,,,2.7,,,,,17.9,8.7,,,,,,86.3,0.4,,,,41.5,,2.1,,8.3,,,,,,,,100,,2.1,,2.1,,,,,2.1,,2.1,,,70.8,82.4,,,,,,1.3,3.8,66.3,
,,,,95.6,,51.3,12.7,,24.4,,,,50.1,,,,,,,,,,20.6,,,,,,,60.7,,,,48,76.3,,,,0,,,,,,,47.7,,,,11.4,,,50.8,,,,,,,,46.3,49.7,,63.7,,57.3,,,6.8,59.9,,,,,,,,,,,58.2,26.1,34.6,,,49,51.5,,11.4,,,,,,,,,,,,,49.7,,,,40.7,,47.5,,62.5,,,69.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,12.8,,,,,,,43.2,45.5,4.2,,,,11.1,,80.8,,47,,90.6,,,76.6,,,,,,,,,,4.9,,,73.5,12.8,,,,,15.6,,,30.8,,,64.4,,30.3,61,,,87.6,,,,,,,,,,,,,,,35.1,39.6,,60.4,96.3,,,,55.8,,,25.6,,,,,,,,,,27.9,,,53.1,,,,,,,,,,,32,,71.7,,,,,43.2
35.2,,,30,,,,,0,27.6,,30,52.5,,,,,,,,36.1,,,,,,,,,,,,,,50.8,,,53,,,,,,,,,,,52.1,55.5,,,,,,52.7,,,53.2,54.1,51.4,,,,68.2,,59.4,,,,,,50.3,,,,53.5,,,,31,,,54.8,,55.9,,52.7,54.4,,,54.8,,,,0,,51.4,,,,52.4,,,,,55.1,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,0,,,,,,,0,0,,100,100,0,,,,0,0,,,,,,,0,,,,,,,,0,,,0,,,0,100,0,,0,,,,,,,,0,,50.6,,,0,,0,,,,,,,,,,,,,,0,,0,,,,0,0,,,,,,,,0,,,0
,21.3,37.9,54.1,,90.4,,,,,,65.1,,57.7,,,,54.5,58.5,,,,,,,,7.3,,,,,,,,,,,,,0.6,,,,,54.2,12.4,,,,57.5,22.3,,,57.5,55.1,,,,67.3,,,,,78.7,,,52.7,,,4.1,57,,,,,,,,,54.8,,,,,,86.1,77,70.8,,,,30.1,,,,,,,,,,87,,75.9,,,,,,56.9,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,2.1,,,,,,,,4.8,,55.4,,,,5.1,,,,,,,,,,2.7,,,4.5,91.7,,7.3,4.9,,82.1,,60.8,,,,17,,,100,100,2.3,,,,,,,8.3,41,91.3,,,5.6,,,,,,88.9,,,,,,,50.7,3.7,,,,,,,,,,15.4,5.4,,,,,1.5,82,,,,,,,,51.3,,,51.1,,63.2,,,,,,,,,,
88.9,,,,,,92.1,,0,,89,,,75.6,,,89.4,,85.8,84.9,85.6,,,,91.8,,,,,91.5,,,,,,,,,,0,20.1,,,,,,,74.8,85.8,,,,,85.8,,,92,,,,86.1,,,79,,,,,,,90,,,,,85.6,,,,,,,77.5,71.5,,,90.4,,,,,,,,91.7,,,,84.2,,,,,,,,,91.7,,,,,,91.8,,,,91.7,,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,93.2,,100,,,,,,90.7,,,,,,,,1,21.3,,,,,94.1,,,,,,,0,,28.5,,100,,,92.4,,,,,100,100,,,,,100,,,,,100,,45.6,,23.9,,,0,100,,,,,,,,,,,,,96.2,,94.1,,,,,,91.3,,,100,,,,,89.7,100,,,100,,,,,,97.6,,,,80.1,71.7,,,92.7,,
,,,,80.1,,,,0,51,,,,,,0,,,,62.8,,,,,,,0,,,,,,,,,,0,,,,,0,,,71.4,0,,,,90.1,,92.8,,,,,,,,,,,,,,,,28.6,,0,,,,,,,,,,50,87.2,,56.3,55.4,,,60.7,,,0,,,,,,,88,,84.8,83,,,,,,,90,72.4,,48.6,63.2,,,56.2,,,,85.6,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,,,,,1,,,0.8,,65.6,,2.7,,,,,,1,,,0,,,,,100,100,,,,,100,,100,,,50.7,,,,100,,,,,76.3,,,,,,,50.3,0,,,,,,0,,,1,,52.3,67.7,,,,,,,,,,,,,,1.4,,,100,,2,,,,1,1,,,0,,,,,89.6,0,13.9,,,0,,,
,,51.8,,85.1,,98,23.8,,,,,,34.6,,,,,,,,99.3,,,,83.4,,,,,,,,68.2,,98.6,,,55.9,,,1,,,,55.2,78.7,,,,53.1,,,,,,,,,100,87.2,56.5,,,,,,21.3,,,,,,2,,63.9,100,,,100,,,,30.1,,,,82.7,,,,,,,,,,,,100,,,,,,,,,98.5,,,100,,,,27.5,,3.7,93.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,,,,,,,,,80,,,14.9,71.8,,57.6,64.9,,,,,,,,96.9,,,,,,23.1,,55.5,,83.1,,,,100,100,,100,,,,,65.9,,,0,,27.2,,,,,,55.4,,,,,,,,,,,,,0,,,,,52,41.7,,,,,,,,,,56.1,,,100,100,79.4,,49.6,,,,,69.6,,,,,,64.8,,,,,,,100,56.5,,,,27.6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,,,,70.4,,,,,,25.5,,52.7,25.9,,,,,,,,,,,51.8,,,,,,51.4,,,,,,,,,,24.9,,,,,,50.4,50.3,,,,,,26.3,23.9,23.7,24.9,,,,23,23.8,,,100,,,,,,51.1,,,25.8,26.1,,,23.8,,,,,,52.4,,,,,,,,25.8,,,,24.6,23.7,25.6,,,52.8,,,,26.1,,,,,,,51,,,,50.8,
79.9,19.2,,,,,74.4,,,40.7,,,,,5.2,,,,,,57.5,,,,,93.7,0,51.4,,,,,84.1,,,,,,,,,,,,80.7,29.6,60,,,,,,,,,,,,,,,,,,,32.5,,32.3,46.1,3.2,,,,,,,,,75.8,,77.2,,,,,,77.6,69.9,49.4,7.6,,,,,64.5,1,,,,88,,,,,76.5,,,,,,39.2,,,,,57.5,,,,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50,,,51.1,,35.6,,,51.8,,,,,,51.1,,50.4,49.6,,,,,,,,,,,,50.7,,,0,,50.6,,,,,,,,51.1,50.8,,,,,,,,,,50.6,,,,,,,,,,49.7,,27.7,50.4,,,52.1,,,,,50.4,50.4,,,,51.1,,51.5,,,,,,,,,,,,52,,,,,,50.6,51.5,50.6,,,,,,,51.3,50.1,,40.3,53.2,,,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,90.7,,,,,,,11.7,,,72,86.6,,83.4,,,,,91.7,,,,,,,82.5,,91.5,83.8,93.7,87.6,,,,,,,,,,,,,85.2,,,,,,,92.1,83.9,,,95.1,,,,,,,,,9.7,6.2,,64.1,,,,17,,,,,,0.4,,,,,77.7,,,,,,,,61.1,,83.1,,1.8,,,,,,,,,,94.2,,82.7,99,5.9,,,94.2,,,,96.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,28.5,2.3,15.9,,,,,,,,,,,,,,,,,2.5,,,2.1,,,,,,,17.3,,,,1.3,,,,2.3,,,,42,,2.4,1.7,,,,,6.2,,35.6,7.2,,1.4,,,24.9,,,85.5,,,,,,2.1,,,28.7,,,,,59.3,,,,,,,62.7,,,,,96.5,,,,,,,2.3,,1.8,,,,2.7,,,59.6,12,,,,1.1,,,1.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7,,51,,,70.1,95.8,,,67.7,100,,,,19.4,,3,,,,66.2,,39.7,78.6,,,22.8,,,,,,,55.2,,,,,,,,,,,,0.3,,,,38.7,17.7,,,,,,,,56.8,9.7,,,,,,3.9,59.3,,,,,,,,,,,,,,,,,,,,5.5,34.9,,,90.4,,,0,,27.6,,,,,,27.5,,,,,,,93.9,,,,,,89.3,31.4,,,49.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,,,,52.2,58.6,,60.4,51.4,,,56.3,,,,,,,,,,52.4,,57.2,,,,,57.6,,,,,52.4,,,,,,,,,,,55.3,,,,,,,,,50.7,,,50.1,51.3,,,,,54.1,49.6,,,,53.1,,,,,,,57.5,,,,,,52.4,55.8,,,54.6,57.7,55.2,56.2,,,,,,,,,,,,,54.6,56.6,51.7,,58,52.5,,,,,,,,,,,51.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,,,13.9,,,100,,,,,,,,82,,2.8,100,,24.6,0,0,3.9,,,6.8,,100,,,,,100,,,,91.1,,49.4,,,50,,,,,10,,,,,,,,,,,,90.7,,,,15.5,,,,,,8.2,,,,,52.3,23.4,,,,,41.5,,,,,,,,,,6.1,0,,,,,,,0,26.2,,,,,,,63.9,,,6.1,50.3,
,12.5,,,,,100,67.2,,,,,,100,,,,,,,100,,,,,,,,,,,,,,,,,,100,21,4.4,,100,,100,,,,67,100,,,,100,,,,100,100,100,,,,100,,,,,100,,100,,100,,,,,100,,,,100,42.8,100,,100,,100,,0,,,,,,,,,,,,,,,,,,,100,100,,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,,,,96.6,95.1,,95.9,,,93,,,,,,94.5,,,93.9,,,,,,94.2,,,,,,,,,,95.4,,,,,95.2,,94.9,,,,,,,,,,,,96.2,,98.5,,,,,97.3,95.8,95.5,95.5,,,,89,,,,,94.8,96.3,,,,,93.9,,94.8,94.5,,,,,94.4,94.9,,93.1,,,94.6,,94.1,,,,,93.9,,,,,,,,,,,,,93.8,,,,,,
